Status,Identified_Countries,Title,Affiliations,Address,Country,Location,Author,Publication Year
✅ Identified,Brazil,System for Identifying Pests and Diseases in Soybean Crop through Natural Language Processing,Universidade Estadual de Londrina,"State University of Londrina, Computings Science Department; Universidade Estadual de Londrina",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Carolinne Roque e Faria, Cinthyan Renata Sachs Camerlengo de Barbosa",2022.0
✅ Identified,Brazil,Centralized Algorithms Based on Clustering with Self-tuning of Parameters for Cooperative Target Observation,Universidade Estadual do Ceará,"Universidade Estadual do Cear á (UECE), Fortaleza -Cear á, Brasil)",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"João P. B. Andrade, José Everardo Bessa Maia, Gustavo Augusto Lima de Campos",2021.0
✅ Identified,Brazil,Dimensioning the relationship between availability and data center energy flow metrics,Universidade Federal Rural de Pernambuco,Universidade Federal Rural de Pernambuco,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Thiago Bezerra, Wenderson de Souza Leonardo, Gabriel Alves, Gustavo Callou",2020.0
⚠️ Missing,❌ None,Iracema: a Python library for audio content analysis,Center for Research on Musical Gesture & Expression,Center for Research on Musical Gesture & Expression,,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Tairone Magalhães, Felippe Brandão Barros, Maurício Alves Loureiro",2020.0
✅ Identified,Brazil,Challenges and Perspectives on Real-time Singing Voice Synthesis,Universidade Federal de Sergipe,Universidade Federal de Sergipe,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Leonardo Araujo Zoehler Brum, Edward David Moreno",2020.0
✅ Identified,Spain,Optimization Inspired on Herd Immunity Applied to Non-Hierarchical Grouping of Objects,"Centro Tecnológico de Investigación, Desarrollo e Innovación en tecnologías de la Información y las Comunicaciones (TIC)",Techway Informática Ltda,ES,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,Alfredo Silveira Araújo Neto,2021.0
⚠️ Missing,❌ None,Co-creating Service-Dominant Business Artifacts with Action Design Research,BusinessModelRadar.com,BusinessModelRadar.com,,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,Egon Lüftenegger,2021.0
✅ Identified,Brazil,The Explainable Business Process (XBP) - An Exploratory Research,Universidade Federal do Rio de Janeiro,"Programa de P ós-graduac ¸ão em Inform ática , Universidade Federal do Rio de Janeiro , Rio de Janeiro , Brazil; Programa de P ós-graduac ¸ão em Inform ática, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Riham Alhomsi, Adriana S. Vivacqua",2021.0
✅ Identified,Brazil,Classification Based on Rules for the Study of Cotton Productivity in the State of Mato Grosso,"Brazilian Agricultural Research Corporation; Brazilian Society of Computational and Applied Mathematics; Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso","Empresa Brasileira de Pesquisa Agropecuária - Embrapa (Embrapa Instrumentação) : São Carlos, São Paulo , Brasil; Instituto Mato-grossense do Algodão, Primavera do Leste-MT, Brasil; Instituto de Ciências Matemáticas e Computação da Universidade de São Paulo (ICMC – USP), São Carlos-SP, Brasil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Alexandra Virgínia Valente da Silva, Carlos Manoel Pedro Vaz, Ednaldo José Ferreira, Rafael Galbieri",2021.0
✅ Identified,"Brazil, United Kingdom",Using the Myers-Briggs Type Indicator (MBTI) for Modeling Multiagent Systems,Ecolab (United Kingdom); Universidade de São Paulo,"Laborat ório de T écnicas Inteligentes (LTI) , Escola Polit écnica (EP) , Universidade de S ão Paulo; Laborat ório de T écnicas Inteligentes (LTI), Escola Polit écnica (EP), Universidade de S ão Paulo (USP), Av. Prof. Luciano Gualberto 158 trav. 3 , 05508-970, S ão Paulo -S ão Paulo, Brasil; trav. 3 , 05508-970 , S ão Paulo -S ão Paulo , Brasil",BR; GB,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Luiz Fernando Braz, Jaime Simão Sichman",2022.0
✅ Identified,Brazil,A Novel Approach to the Measurement of Bourdieusian Social Capital within Institutional Pages and Profiles,Instituto Federal de Goiás,"Câmpus Inhumas -Instituto Federal de Educação, Ciência e Tecnologia de Goiás (IFG), Inhumas -Goiás, Brasil; Instituto Federal de Goiás",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Alan Keller Gomes, Kaique Matheus Rodrigues Cunha, Guilherme Augusto da Silva Ferreira",2022.0
✅ Identified,Brazil,Implantação de Medição no Processo de Desenvolvimento de Software – Relato de Experiência e Lições Aprendidas,Universidade Federal do Pará,Universidade Federal do Pará,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Luciana Maria Azevedo Nascimento, Talita Vieira Ribeiro, Carla Reis, Rodrigo Quites Reis, Adailton Magalhães Lima",2011.0
✅ Identified,Brazil,An Adaptive Trust Model Based on Fuzzy Logic,Universidade Tecnológica Federal do Paraná,Universidade Tecnológica Federal do Paraná,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Jeferson José Baqueta, Mariela Morveli-Espinoza, Gustavo Lugo, César Augusto Tacla",2022.0
✅ Identified,Brazil,A Conceptual Model for Situating Purposes in Artificial Institutions,Universidade Federal de Santa Catarina,"Control, Automation, and Computation Engineering Department , Federal University of Santa Catarina (UFSC) , Blumenau -Santa Catarina , Brazil; Control, Automation, and Computation Engineering Department, Federal University of Santa Catarina (UFSC), Blumenau -Santa Catarina, Brazil; Federal University of the Santa Catarina",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Rafhael R. Cunha, Jomi Fred Hübner, Maiquel de Brito",2022.0
✅ Identified,Brazil,Integrating Embedded Multiagent Systems with Urban Simulation Tools and IoT Applications,Federal Center for Technological Education Celso Suckow da Fonseca; Universidade Estadual de Campinas (UNICAMP); Universidade Federal do Paraná; Universidade Tecnológica Federal do Paraná,"Centro Federal de Educac ¸ão Tecnol ógica Celso Suckow da Fonseca (CEFET/RJ) , Rio de Janeiro -Rio de Janeiro , Brazil; Centro Federal de Educac ¸ão Tecnol ógica Celso Suckow da Fonseca (CEFET/RJ), Rio de Janeiro -Rio de Janeiro, Brazil; Computer Science Graduate Program , Universidade Tecnol ógica Federal do Paran á (UTFPR) , Curitiba -Paran á , Brazil; Computer Science Graduate Program, Universidade Tecnol ógica Federal do Paran á (UTFPR), Curitiba -Paran á, Brazil; University of Campinas",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Lucas Fernando Souza de Castro, Fabian César Pereira Brandão Manoel, Vinicius Souza de Jesus, Carlos Eduardo Pantoja, André Pinz Borges, Gleifer Vaz Alves",2022.0
✅ Identified,Brazil,Towards Causal Effect Estimation of Emotional Labeling of Watched Videos,Universidade Federal de Campina Grande,"Unidade Acadêmica de Sistemas e Computação, Centro de Engenharia Elétrica e Informática, Universidade Federal de Campina Grande",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Eanes Torres Pereira, Geovane Do Nascimento Silva",2022.0
✅ Identified,Brazil,Ab Initio Protein Structure Prediction Using Evolutionary Approach: A Survey,Universidade Estadual do Centro-Oeste,"Midwestern Paran á State University (UNICENTRO) , Guarapuava -Paran á , Brasil; Midwestern Paran á State University (UNICENTRO), Guarapuava -Paran á, Brasil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Lucas Siqueira, Sandra M. Venske",2021.0
✅ Identified,Brazil,The Notification Oriented Paradigm Language to Digital Hardware as an Intuitive High-level Synthesis Tool,Instituto Federal Catarinense; Universidade Tecnológica Federal do Paraná,"Instituto Federal Catarinense - IFC e
Universidade Tecnológica Federal do Paraná - UTFPR; Universidade Tecnológica Federal do Paraná - UTFPR",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Ricardo Kerschbaumer, André Augusto Kaviatkovski, Gabriel Rodrigues Garcia, Carlos R. Erig Lima, Jean Marcelo Simão",2021.0
✅ Identified,"Brazil, Canada",Identificação da Autoria de Manuscritos com Base em Atributos Genéticos e Genéricos da Escrita,Pontifícia Universidade Católica do Paraná; Universidade Federal do Paraná; École de Technologie Supérieure,"Ecole de Technologie Superieure, Université Du Quebec; Pontifìcia Universidade Católica do Paraná; Pontifícia Universidade Católica do Paraná; Universidade Federal do Paraná; École de Technologie Supérieure, Université du Québec",BR; CA,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Regiane Kowalek Hanusiak, Edson Justino, Luiz S. Oliveira, Robert Sabourin",2011.0
✅ Identified,Brazil,A Review of Testbeds on SCADA Systems with Malware Analysis,Military Institute of Engineering; Universidade de Brasília,"Military Institute of Engineering (IME), Rio de Janeiro, RJ, Brazil; Systems Development Center (CDS), Brasília, DF, Brazil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Otávio Augusto Maciel Camargo, Júlio César Duarte, Anderson Fernandes Pereira dos Santos, César Augusto Borges de Andrade",2022.0
✅ Identified,Brazil,Ambiente Virtual Interativo com Colisão e Deformação de Objetos para Treinamento Médico,Universidade Estadual de Campinas (UNICAMP); Universidade Federal do Paraná; Universidade de São Paulo,Universidade Estadual de Campinas; Universidade Federal do Paraná; Universidade de São Paulo,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Marcello Kera, Hélio Pedrini, Fátima L. S. Nunes",2011.0
✅ Identified,Brazil,QOC*: utilizando Design Rationale como ferramenta para gerenciar conhecimento em projetos de software,Pontifícia Universidade Católica do Rio Grande do Sul,"PPGCC/PUCRS, Avenida Ipiranga, 6681, Prédio 32, Porto Alegre, RS",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Marcos Camponogara, Milene Selbach Silveira",2010.0
✅ Identified,Brazil,Uso da ferramenta PreText para mineração de textos extraídos do NCBI para estudo epistemológico da Informática em Saúde,Universidade Federal de São Paulo,DIS/UNIFESP; ICMC/USP,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Eliane Colepícolo, Edson Takashi Matsubara, Alex Esteves Jaccoud Falcão, Ivan Torres Pisa",2010.0
✅ Identified,Brazil,ALUPAS: Avaliação de desempenho e consumo de energia de softwares para sistemas embarcados,Universidade Federal de Pernambuco,"Universidade Federal de Pernambuco, UFPE",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Bruno Nogueira, Paulo Marcos Cardoso Maciel, Gustavo Callou, Ermeson Andrade, Eduardo Tavares",2010.0
✅ Identified,Brazil,Avaliação Pró-ativa da Deterioração de Sistemas de Informação por meio de Medidas de Gestão,Universidade Católica de Brasília,Universidade Católica de Brasília,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"André Luiz Pimentel Queiroz, Nicolas Anquetil, Káthia Marçal De Oliveira",2010.0
✅ Identified,Brazil,High Performance Computing: CUDA as a Supporting Technology for Next Generation Augmented Reality Applications,"Centro de Informática, UFPE","Centro de Informática, UFPE",,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Thiago Farias, João Marcelo N. X. Teixeira, Pedro José Silva Leite, Gabriel F. Almeida, Mozart William Santos Almeida, Verônica Teichrieb, Judith Kelner",2010.0
✅ Identified,Brazil,"Efeitos Visuais, uma Abordagem a Partir do Processamento Digital de Imagens",Universidade Fundação Mineira de Educação e Cultura,"Departamento de Ciência da Computação, UFMG; Departamento de Ciência da, Computação, UFMG; Faculdade de Ciências Empresariais, Universidade FUMEC",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"João Victor Boechat Gomide, Arnaldo de Albuquerque Araújo",2010.0
✅ Identified,Brazil,Tutorial: Introdução à Visão Computacional usando OpenCV,Universidade Presbiteriana Mackenzie,"Universidade Presbiteriana Mackenzie, Faculdade de Computação e Informática; Universidade Presbiteriana Mackenzie, Faculdade de Computação e Informática e Pós Graduação em Engenharia Elétrica",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Maurício Marengoni, Stringhini Stringhini",2010.0
✅ Identified,Brazil,Evaluating the Causal Effect of Multimedia and Affective Temperament in Felt Emotion and Liking,Universidade Federal de Campina Grande,"Unidade Acadêmica de Sistemas e Computação, Centro de Engenharia Elétrica e Informática, Universidade Federal de Campina Grande",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Rafaela De Amorim Barbosa Silva, Eanes Torres Pereira",2022.0
✅ Identified,Brazil,Análise do Controle Motor com Interações usando Dispositivos Convencionais e Realidade Aumentada,Universidade do Estado de Santa Catarina,LAPE - CEFID - UDESC; LARVA - DCC - UDESC,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Marcelo Da Silva Hounsell, Débora Cristine Xavier, Tânia Brusque Crocetta, Alexandro Andrade",2011.0
✅ Identified,Brazil,Variation Detection applied in User Signature Verification,Universidade de São Paulo,Universidade de São Paulo,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Rodrigo Fernandes de Mello, Matheus Lorenzo dos Santos, Marcelo Keese Albertini",2011.0
✅ Identified,"Brazil, United States",Contributions on Computer Music from the SBCM 2019,Albert Einstein College of Medicine; Federal University of São João del-Rei; Universidade Estadual de Campinas (UNICAMP),"UNICAMP
Av. Albert Einstein, 400, CEP 13083-852, Campinas, SP, Brasil, Sala 311 | +55 19 3521-3773; Universidade Federal de São João Del-Rei.
Av. Visconde do Rio Preto, s/nº, Colônia do Bengo
Vila São Paulo (Fábricas)
36301360 - São João del Rei, MG - Brasil
Telefone: (32) 33728192",BR; US,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Tiago Fernandes Tavares, Flávio Luiz Schiavoni",2021.0
✅ Identified,Brazil,Aprendizado e Controle de Robôs Móveis Autônomos Utilizando Atenção Visual,Universidade Federal do Rio Grande do Sul,UFRGS,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Milton Roberto Heinen, Paulo Martins Engel",2011.0
✅ Identified,Brazil,Estratégias de Atualização de Políticas para a Coordenação de Agentes Baseados em Enxames,Pontifícia Universidade Católica do Paraná,Pontifícia Universidade Católica do Paraná; Pontifícia Universidade Católica do Paraná - PUCPR,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Richardson Ribeiro, Fabrício Enembreck",2011.0
✅ Identified,Brazil,Exploring Supervised Techniques for Automated Recognition of Intention Classes from Portuguese Free Texts on Agriculture,Centro de Tecnologia da Informação Renato Archer; Universidade Estadual de Campinas (UNICAMP),"CTI Renato Archer, Campinas, São Paulo, Brasil; Unifaccamp and CTI Renato Archer, Campinas, São Paulo, Brasil; Universidade Estadual de Campinas, Campinas, São Paulo, Brasil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Daniel Felix de Brito, Jarbas Lopes Cardoso Júnior, Júlio Cesar dos Reis, Guilherme Ruppert, Rodrigo Bonacin",2022.0
✅ Identified,Brazil,Building Contrastive Summaries of Subjective Text Via Opinion Ranking,Universidade de São Paulo,"Interinstitutional Center for Computational Linguistics (NILC), Institute of Mathematical and Computer Sciences, University of São Paulo. São Carlos/SP, Brazil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Raphael Rocha da Silva, Thiago Alexandre Salgueiro Pardo",2022.0
✅ Identified,Brazil,SSM: A Semantic Metasearch Platform for Scientific Data retrieval,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Gustavo Caetano Borges, Júlio Cesar dos Reis, Cláudia Bauzer Medeiros",2022.0
✅ Identified,Brazil,Stochastic Models for Planning VLE Moodle Environments based on Containers and Virtual Machines,"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas; Universidade Federal Rural de Pernambuco","Coordenação de Informática, Instituto Federal de Alagoas, Maceió, Alagoas, Brasil; Departamento de Computação, Universidade Federal Rural de Pernambuco, Recife, Pernambuco, Brasil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Cleyton Ferreira Gonçalves, Ermeson Andrade, Júlio Mendonça, Gustavo Callou",2022.0
✅ Identified,Brazil,Efficient Breast Cancer Classification Using Histopathological Images and a Simple VGG,Instituto Federal do Maranhão,Instituto Federal do Maranhão,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Marcelo Luis Rodrigues Filho, Omar Andrés Carmona Cortes",2022.0
✅ Identified,"Brazil, Netherlands",Application of Profile Prediction for Proactive Scheduling,Military Institute of Engineering; Netherlands Aerospace Centre,Instituto Militar de Engenharia; National Laboratory of Scientific Computing,BR; NL,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Allan Matheus Marques Dos Santos, Raquel Coelho Gomes Pinto, Júlio César Duarte, Bruno Schulze",2022.0
✅ Identified,Brazil,Estimação de Probabilidade de Perda de Dados em Redes Através de Modelagem Multifractal de Tráfego e Teoria de Muitas Fontes,Hospital de Clínicas da Unicamp; Universidade Federal de Goiás,Unicamp; Universidade Federal de Goiás,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Flávio Henrique Teles Vieira, Scheila Guedes Garcez",2011.0
✅ Identified,Brazil,Desenvolvimento e Avaliação de um Protocolo Eletrônico para Atendimento e Monitoramento do Paciente com Doença Celíaca,Fundação de Apoio à Universidade Federal de São Paulo; Universidade Federal de São Paulo,"Departamento de Informática em Saúde, Universidade Federal de São Paulo; Departamento de Pediatria, Universidade Federal de São Paulo; Programa de Pós Graduação em Saúde Coletiva, Universidade Federal de São Paulo; UNIFESP; Unifesp; Universidade Federal
de São Paulo; Universidade Federal#R##N#de São Paulo",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Josceli Maria Tenório, Frederico Molina Cohrs, Vera Lúcia Sdepanian, Ivan Torres Pisa, Heimar de Fátima Marín",2011.0
✅ Identified,Brazil,Optimal Control and Adaptive Learning for Stabilization of a Quadrotor-type Unmanned Aerial Vehicle via Approximate Dynamic Programming,Universidade Estadual do Maranhão,Universidade Estadual do Maranhão,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Joelson Miller Bezerra De Souza, Patrícia Helena Moraes Rêgo, Guilherme Bonfim De Sousa, Janes Valdo Rodrigues Lima",2022.0
✅ Identified,Brazil,SEGBEE: Mobile Application for Honey Segmentation in Apiary Boards,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais; Universidade Federal de Minas Gerais",Instituto Federal de Minas Gerais; Universidade Federal de Minas Gerais,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Daniel W. S. Rocha, Eduardo Cardoso Melo, Bruno Alberto Soares Oliveira",2022.0
✅ Identified,Brazil,"Multi-Objective, Multi-Armed Bandits: Algorithms for Repeated Games and Application to Route Choice",Universidade Federal do Rio Grande do Sul,Federal University of Rio Grande do Sul,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Candy A. Huanca-Anquise, Ana L. C. Bazzan, Anderson Rocha Tavares",2023.0
✅ Identified,Brazil,Snake-3D na Modelagem Tridimensional e Medição do Comprimento de Arcos Elétricos,Hospital de Clínicas da Unicamp; Universidade Estadual de Campinas (UNICAMP); Universidade do Estado de Santa Catarina,UDESC; UDESC); UNICAMP; Unicamp,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Gilmário Barbosa dos Santos, Clésio Luis Tozzi, Maria Cristina Tavares",2011.0
✅ Identified,Brazil,Editorial: 20 anos da Revista de Informática Teórica e Aplicada,Universidade Federal do Rio Grande do Sul,"Instituto de Informática, UFRGS, Porto Alegre, RS",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Luís C. Lamb, José Palazzo Moreira de Oliveira, Lisandro Zambenedetti Granville",2010.0
✅ Identified,Brazil,Prefácio à Seção Especial dos Tutoriais do SIBGRAPI'08,Universidade Estadual de Campinas (UNICAMP),"Instituto de Computação, UFF, Niterói-RJ; Instituto de Computação, UNICAMP, Campinas",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Siome Goldenstein, Anselmo Montenegro",2010.0
✅ Identified,Brazil,Neural Classification of Rotor Faults in Three-Phase Induction Motors using Electric Current Signals in the Frequency Domain,Universidade Tecnológica Federal do Paraná; Universidade de São Paulo,Universidade Tecnológica Federal do Paraná; Universidade de São Paulo,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Rodrigo Henrique Cunha Palácios, Ivan Nunes da Silva, Wagner Fontes Godoy",2023.0
✅ Identified,"Brazil, Canada",Quantools: A MDA transformation approach,Pontifícia Universidade Católica do Rio Grande do Sul; University of Waterloo,"Pontifical Catholic of Rio Grande do Sul – Faculty of Informatics Av. Ipiranga, 6681 – Prédio 32 – 6 Floor - Porto Alegre – RS; Quantiza Systems Av. Dos Municípios, 5510 Santa Lúcia Campo Bom – RS; University of Waterloo - David R. Cheriton School of Computer Science 200 university Ave N2L 6P2 - Waterloo",BR; CA,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Paulo Lumertz, Ana Paula Terra Bacelo, Toacy Oliveira",2010.0
⚠️ Missing,❌ None,Optimization Inspired by the Organization of Interiors Applied to Cluster Analysis,,,,,,
